sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-12-27;2410,40;2377,76;2406,61;;1;;
2021-12-23;2385,66;2345,97;2385,63;;1;;
2021-12-22;2334,81;2312,48;2334,81;;1;;
2021-12-21;2319,52;2302,51;2319,52;;1;;
2021-12-20;2291,26;2257,79;2285,72;;1;;
2021-12-17;2309,61;2286,63;2305,92;;1;;
2021-12-16;2333,19;2304,52;2311,03;;1;;
2021-12-15;2302,02;2280,77;2293,46;;1;;
2021-12-14;2329,74;2283,20;2286,37;;1;;
2021-12-13;2342,51;2309,45;2310,35;;1;;
2021-12-10;2328,72;2308,44;2315,73;;1;;
2021-12-09;2340,72;2317,45;2323,89;;1;;
2021-12-08;2352,68;2321,15;2326,55;;1;;
2021-12-07;2338,68;2304,50;2334,85;;1;;
2021-12-06;2288,66;2247,79;2285,53;;1;;
2021-12-03;2283,67;2238,29;2240,83;;1;;
2021-12-02;2276,13;2243,67;2263,20;;1;;
2021-12-01;2292,88;2252,04;2290,72;;1;;
2021-11-30;2273,99;2229,50;2241,66;;1;;
2021-11-29;2286,21;2255,36;2272,27;;1;;
2021-11-26;2279,66;2241,65;2242,18;;1;;
2021-11-25;2348,46;2326,98;2335,59;;1;;
2021-11-24;2352,65;2324,46;2336,50;;1;;
2021-11-23;2357,61;2331,72;2334,31;;1;;
2021-11-22;2384,43;2368,57;2368,57;;1;;
2021-11-19;2389,11;2356,40;2373,92;;1;;
2021-11-18;2387,14;2366,83;2373,04;;1;;
2021-11-17;2384,10;2364,89;2384,10;;1;;
2021-11-16;2390,34;2368,97;2385,63;;1;;
2021-11-15;2374,71;2358,13;2374,47;;1;;
2021-11-12;2366,46;2345,25;2365,45;;1;;
2021-11-11;2351,03;2328,57;2346,46;;1;;
2021-11-10;2333,17;2316,64;2331,42;;1;;
2021-11-09;2338,95;2321,54;2327,12;;1;;
2021-11-08;2337,23;2319,60;2331,85;;1;;
2021-11-05;2333,64;2322,56;2324,90;;1;;
2021-11-04;2331,92;2320,41;2330,07;;1;;
2021-11-03;2317,67;2295,37;2317,67;;1;;
2021-11-02;2303,91;2288,36;2302,67;;1;;
2021-11-01;2310,61;2295,77;2302,26;;1;;
2021-10-29;2303,10;2275,36;2290,85;;1;;
2021-10-28;2316,02;2301,61;2313,24;;1;;
2021-10-27;2339,78;2320,90;2323,17;;1;;
2021-10-26;2352,24;2324,55;2344,20;;1;;
2021-10-25;2353,63;2326,72;2330,13;;1;;
2021-10-22;2352,04;2316,16;2348,84;;1;;
2021-10-21;2328,07;2307,54;2325,15;;1;;
2021-10-20;2326,74;2304,34;2326,25;;1;;
2021-10-19;2329,64;2314,15;2326,66;;1;;
2021-10-18;2326,44;2303,15;2311,70;;1;;
2021-10-15;2318,79;2298,75;2314,98;;1;;
2021-10-14;2298,10;2282,01;2296,77;;1;;
2021-10-13;2280,98;2235,67;2276,95;;1;;
2021-10-12;2252,40;2204,62;2251,01;;1;;
2021-10-11;2234,74;2215,36;2233,52;;1;;
2021-10-08;2259,29;2234,72;2240,22;;1;;
2021-10-07;2260,48;2237,77;2257,74;;1;;
2021-10-06;2239,83;2203,58;2221,06;;1;;
2021-10-05;2254,84;2223,66;2254,84;;1;;
2021-10-04;2254,38;2228,52;2233,30;;1;;
2021-10-01;2256,59;2218,20;2254,18;;1;;
2021-09-30;2278,19;2249,46;2259,18;;1;;
2021-09-29;2275,31;2250,19;2255,55;;1;;
2021-09-28;2299,84;2253,66;2254,02;;1;;
2021-09-27;2333,65;2300,58;2304,01;;1;;
2021-09-24;2332,38;2309,11;2313,27;;1;;
2021-09-23;2340,10;2316,99;2338,00;;1;;
2021-09-22;2302,82;2284,50;2299,15;;1;;
2021-09-21;2294,45;2273,44;2274,88;;1;;
2021-09-20;2299,81;2257,32;2272,46;;1;;
2021-09-17;2361,03;2321,47;2323,55;;1;;
2021-09-16;2354,49;2328,63;2344,03;;1;;
2021-09-15;2342,86;2318,63;2324,75;;1;;
2021-09-14;2342,72;2326,67;2341,77;;1;;
2021-09-13;2358,23;2335,23;2335,34;;1;;
